label,field_name,section,max_count,required,accepted_values,example,definition
Cpsia Warning,cpsia_cautionary_statement,Compliance,1,Optional,"Use this field to indicate if a cautionary statement relating to the choking hazards of children's toys and games applies to your product.  These cautionary statements are defined in Section 24 of the Federal Hazardous Substances Act and Section 105 of the Consumer Product Safety Improvement Act of 2008.  They must be displayed on the product packaging and in certain online and catalog advertisements.  You are responsible for determining if a cautionary statement applies to the product.  This can be verified by contacting the product manufacturer or checking the product packaging.   Cautionary statements that you select will be displayed on the product detail page.  If no cautionary statement applies to the product, select ""no_warning_applicable"".",choking_hazard_balloon,"Select from the following Valid Values: 
choking_hazard_balloon
choking_hazard_contains_a_marble
choking_hazard_contains_small_ball
choking_hazard_is_a_marble
choking_hazard_is_a_small_ball
choking_hazard_small_parts
no_warning_applicable"
Is this product a battery or does it utilize batteries?,batteries_required,Compliance,1,Required,Select 'yes' if batteries are required to power the item (or if the item is a battery) or 'no' if they are not. Please note that an internal rechargeable battery is also considered a battery,FALSE,"An internal rechargeable, non-replaceable battery (e.g. laptop battery) is also considered a battery."
Battery weight (grams),battery_weight,Compliance,1,Required,Number up to 10 digits and 2 decimal points long.,150,Provide the total net weight of the batteries included. This is the weight of the standalone batteries not including packaging or the device it may be used in.
Battery Weight Unit,battery_weight_unit_of_measure,Compliance,1,Required,Provide unit for battery weight,Grams,Unit of measure used to describe the battery weight
Number of Lithium Metal Cells,number_of_lithium_metal_cells,Compliance,1,Required,Specify the total number of Lithium Metal cells in the product where the cell isn't contained in an encased battery (e.g. coin cells),7,"Total number of Lithium cells (of type Metal) in the product, where the cell isn't contained in an encased battery."
Number of Lithium-ion Cells,number_of_lithium_ion_cells,Compliance,1,Required,"Specify the total number of Lithium-ion cells in the product where the cell isn't contained in an encased battery. For example, an AA battery is considered a cell",7,"Total number of Lithium cells (of type Ion) in the product, where the cell isn't contained in an encased battery."
Lithium Battery Energy Content Unit,lithium_battery_energy_content_unit_of_measure,Compliance,1,Required,Select the corresponding unit,Watt Hours,Indicate unit of measure if Lithium Battery Energy Content is populated
Lithium content (grams),lithium_battery_weight,Compliance,1,Required,A positive whole number.,"1, 2, 3",Commonly found in manufacturer's technical information
Lithium Battery Weight Unit,lithium_battery_weight_unit_of_measure,Compliance,1,Required,Select the corresponding weight unit,Grams,"Select the unit of measure for Lithium Battery Weight  . If Lithium Battery Weight  is used, you must also enter theLithium Battery Weight  Unit Of Measure."
Dangerous Goods Regulations,supplier_declared_dg_hz_regulation,Compliance,5,,,,
Hazmat,hazmat_united_nations_regulatory_id,Compliance,1,Required,Provide hazmat information that is relevant to the product based on the aspect selected,UN1993,"Usually found in the Safety Data Sheet or procured from the manufacturer/distributor. For more information, refer to the help pages."
Safety Data Sheet (SDS or MSDS) URL,safety_data_sheet_url,Compliance,1,Required,Provide the SDS/MSDS URL if any value other than Not Applicable or Unknown is selected in the Dangerous Goods Regulation column.,www.safetysheetsRus.com/hazardous_substance/msds.pdf,"Can be procured from the manufacturer/distributor. For more information, refer to the help pages."
Volume,item_volume,Compliance,1,Required,A number with up to 10 digits to the left of the decimal point and 2 digits to the right of the decimal point. Please do not use commas.,34.78,Indicates the volume capacity of a product.
item_volume_unit_of_measure,item_volume_unit_of_measure,Compliance,1,Required,Indicates the volume capacity of a product.,milliliters,Indicates the volume capacity of a product.
Compliance Certification Status,legal_compliance_certification_status,Compliance,1,Optional,"If you have the required certification for compliance, select Compliant; if not, select, Non-compliant, and if not needed, select Exempt","Compliant, Exempt",
