label,field_name,section,max_count,required,accepted_values,example,definition
Parentage,parent_child,Variation,1,Optional,"Please select one of the following values: parent, child",parent,"Defines the product within a relationship with another, similar product.  

The ""parent"" defines the basic data about the product. Parent products are not purchasable; the ""parent"" product simply specifies the attributes of the product that are common among all of its children and only acts as a place holder.  The ""child"" products define the possible variations (i.e., size, color) of the parent product and represent the items that are actually for sale.

This field is required if any of the following columns are populated: variation_theme, color, paper_size, maximum_expandable_size, line_size.  If the product does not participate in a variation relationship, use the value ""child.""

For further information about how to construct a product variation, please refer to this template's ""Example"" tab."
Parent SKU,parent_sku,Variation,1,Optional,An alphanumeric string; 1 character minimum in length and 40 characters maximum in length.,10162513,"If the product is a child product, list the SKU of the parent product which is related.  DO NOT FILL IN THIS FIELD FOR PARENT PRODUCTS."
Relationship Type,relationship_type,Variation,1,Optional,"Select one of the following options: 
Accessory             Variation               Package Contains",Accessory,"Describes the relationship between products that are related. Accessories can be seen on the www.amazon.com site as ""Also Recommended"" selections on certain detail product pages.  Use this field to create an accessory relationship."
Variation Theme,variation_theme,Variation,1,Optional,Select and applicable variation theme.,Size/Color,"Describes the parameter(s) by which the parent product may vary.  The value input for this field should be the same for both the parent and child SKUs. Example: If the product varies by size, input the value Size. If the product varies by color, input the value Color.   Terms used for variation themes are created by you the merchant. (e.g. 'count' can be any number that you choose)."
Package Level,package_level,Variation,1,Optional,Select one of the following options: Unit  Case Pallet,Case,Pick an enumeration to represent if the item is a base item or a packaging configuration
package_contains_quantity,package_contains_quantity,Variation,1,Optional,,,
package_contains_identifier,package_contains_identifier,Variation,1,Optional,,,
Bullet Point,bullet_point,Discovery,5,,,,
Built-In Media,included_components,Discovery,5,,,,
Generic Keyword,generic_keywords,Discovery,1,Optional,"Provide any terms that may be relevant to customer searches. No repetition, no competitor brand names or ASINs.",Water sport shoes; Derek Rose; Electric; Wi-Fi; Banana,"Search terms that describe your product: no repetition, no competitor brand names or ASINs."
Additional Features,special_features,Discovery,5,,,,
Colour,color_name,Discovery,1,Required,"Text - maximum 20 characters. HTML tags and special characters not on a standard keyboard (eg. ®, ©, ™ or other Type 1 High ASCII characters) are not supported",aqua,"The colour of the product. If this is not a standard colour, also use the color-name column to map it to its closest equivalent so that it shows up in our colour filter options in search. For instance, if your colour name is ""aqua"", you should enter ""blue"" in the color-map column"
Colour Map,color_map,Discovery,1,Optional,"Black
White
Transparent
Blue
Green
Red
Yellow
Purple
Orange
Pink
Brown
Silver
Gold
Multi-coloured",Black,"If your colour is non-standard, you should map it to its closest equivalent here so that it shows up in our colour filter options in search. For instance, if your colour name is ""aqua"", you should map it to ""blue""; if your colour name is ""violet"", you should map it to ""purple"""
Size Name,size_name,Discovery,1,Optional,An alphanumeric string; 1 character minimum in length and 50 characters maximum in length.,S: 12.4 x 4.2 x 1 cm,"If your item is differentiated between parent and child by size, use this field to describe the size of the item. 

Note: Before completing this field, make sure the item is a child and that the value in the Parent or Child field for this item is ""Child""."
Antenna Location,recommended_uses_for_product,Discovery,1,Required,"Indoor, Indoor/Outdoor, Outdoor",Indoor,A description of where the antenna is intended to be used
Compatible Devices,compatible_devices,Discovery,5,,,,
Power Source,power_source_type,Discovery,1,Required,"AC, DC, Battery, AC & Battery, Solar, Fuel Cell, Kinetic",DC,Power Source
Voltage,voltage,Discovery,1,Required,"A number with up to 2 decimal places. Please use a full stop (.) rather than a comma (,) for a decimal point",220,The voltage of the primary power source
Connector Type Used on Cable,connector_type,Discovery,1,Required,"D-sub 15, Mini sub D15, Mini D15, DB-15, HDB-15, HD-15 or HD15 x any number",D-sub 15 pin x 1,Total number and type of Analog RGB inputs
Hardware Platform,hardware_platform,Discovery,3,,,,
Style,style_name,Discovery,1,Optional,"Specify the product's style . Do not include the brand, gender, age range, color or size.",Art Deco,
Compatible Phone Models,compatible_phone_models,Discovery,3,,,,
Lithium Battery Voltage Unit of Measure,lithium_battery_voltage_unit_of_measure,Discovery,1,Optional,mV or V.,V,Unit of measure used to describe the lithium battery voltage
Battery Charge Time Unit Of Measure,battery_charge_time_unit_of_measure,Discovery,1,Optional,"Select one of the following options: days,hours,minutes,months,seconds,weeks,years",hours,"Select the unit of measure for Charging Time.  If Charging Time is used, you must also enter the Charging Time Unit Of Measure."
Voltage Unit Of Measure,voltage_unit_of_measure,Discovery,1,Required,A positive integer.,120,Indicates the voltage unit of measure for the product.
Item Type,item_type_name,Discovery,1,Optional,Select a value from the list of Valid Values.,Fashion T-Shirt,Describe the type of the apparel
Battery Capacity,battery_capacity,Discovery,1,Required,Provide the battery capacity as a numeric value,100,
Number of Ports,number_of_ports,Discovery,1,Optional,A positive integer.,5,Indicate the number of ports for the product
Battery Capacity Unit Of Measure,battery_capacity_unit_of_measure,Discovery,1,Required,mAh or Ah,Ah,Unit of measure used to describe the battery capacity.
Reusability,reusability,Discovery,1,Optional,Provide information as to whether or not this product can be reused,"Disposable, Rechargeable",
Number of Boxes,number_of_boxes,Discovery,1,Optional,Provide the number of boxes that the product will be shipped in,5,
Battery Charge Time,battery_charge_time,Discovery,1,Optional,Provide the amount of time it takes to fully charge the battery as a numeric value,"2.25, 30",
